"faixa_salarial","valor_min","valor_max","valor_medio","valor_corrigido_da_fonte"
"de R$ 3.001/mês a R$ 4.000/mês","3001.0","4000.0","3500.5","false"
"de R$ 4.001/mês a R$ 6.000/mês","4001.0","6000.0","5000.5","false"
"de R$ 2.001/mês a R$ 3.000/mês","2001.0","3000.0","2500.5","false"
"de R$ 1.001/mês a R$ 2.000/mês","1001.0","2000.0","1500.5","false"
"de R$ 30.001/mês a R$ 40.000/mês","30001.0","40000.0","35000.5","false"
"de R$ 6.001/mês a R$ 8.000/mês","6001.0","8000.0","7000.5","false"
"de R$ 8.001/mês a R$ 12.000/mês","8001.0","12000.0","10000.5","false"
"de R$ 20.001/mês a R$ 25.000/mês","20001.0","25000.0","22500.5","false"
"de R$ 12.001/mês a R$ 16.000/mês","12001.0","16000.0","14000.5","false"
"de R$ 16.001/mês a R$ 20.000/mês","16001.0","20000.0","18000.5","false"
"de R$ 25.001/mês a R$ 30.000/mês","25001.0","30000.0","27500.5","false"
"Acima de R$ 40.001/mês","40001.0",,"40001.0","false"
"Menos de R$ 1.000/mês","0.0","1000.0","500.0","false"
"de R$ 101/mês a R$ 2.000/mês","101.0","2000.0","1050.5","false"
"de R$ 25.001/mês a R$ 3000/mês","25001.0","30000.0","27500.5","true"
