"respondente_id","categoria","item","ano_pesquisa"
"bscq665kyme4joxcosbscq68bw2fz2go","responsabilidade","Contratação de ferramentas","2023"
"8ds88xyv7q6f5t4t4opz8ds831flrh6c","desafio","Projetos multidisciplinares","2025"
"11rkrwb0eewa311rkkhs2gly0puxzsxb","desafio","Dividir tempo técnico/gestão","2025"
"syyspkcmn91twhhwm9syysbh89ljjeqc","desafio","Projetos multidisciplinares","2025"
"syyspkcmn91twhhwm9syysbh89ljjeqc","desafio","Gerar valor pro negócio","2025"
"syyspkcmn91twhhwm9syysbh89ljjeqc","desafio","Levar inovação pra empresa","2025"
"pej03wamsu4dgswpej03k4p5jmdeumke","desafio","Projetos multidisciplinares","2025"
"pej03wamsu4dgswpej03k4p5jmdeumke","desafio","Gerenciar expectativa do negócio","2025"
"bscq665kyme4joxcosbscq68bw2fz2go","responsabilidade","Gestor de engenharia de dados","2023"
"bscq665kyme4joxcosbscq68bw2fz2go","responsabilidade","Gestor de estudos/relatórios","2023"
"pej03wamsu4dgswpej03k4p5jmdeumke","desafio","Manter projetos em produção","2025"
"q5ag7jps8ue4m2bw7q5ag27ppezikzjr","desafio","Gerenciar expectativa do negócio","2025"
"4rdj04qh90usi3tqt4rdj0wva6bfbmwz","desafio","Dividir tempo técnico/gestão","2025"
"ohfe7anscim5tar3kkaohfe7azn2v33i","desafio","Manter projetos em produção","2025"
"ohfe7anscim5tar3kkaohfe7azn2v33i","desafio","Dividir tempo técnico/gestão","2025"
"1rmlycxc3mbbp5y2x901rml5596bwb22","desafio","Gerar valor pro negócio","2025"
"1rmlycxc3mbbp5y2x901rml5596bwb22","desafio","Gerenciar expectativa do negócio","2025"
"1rmlycxc3mbbp5y2x901rml5596bwb22","desafio","Manter projetos em produção","2025"
"bscq665kyme4joxcosbscq68bw2fz2go","responsabilidade","Gestor de IA/ML","2023"
"bscq665kyme4joxcosbscq68bw2fz2go","responsabilidade","Ainda atua tecnicamente","2023"
"bscq665kyme4joxcosbscq68bw2fz2go","responsabilidade","Gestão de pessoas","2023"
"8wkieyd66umwj8wkiwz7s16hyuf73yr2","responsabilidade","Visão de longo prazo de dados","2023"
"tny9vhp9bsvmmtnh9zjzeokzutro15yh","desafio","Reter talentos","2025"
"tny9vhp9bsvmmtnh9zjzeokzutro15yh","desafio","Gerenciar expectativa do negócio","2025"
"tny9vhp9bsvmmtnh9zjzeokzutro15yh","desafio","Dividir tempo técnico/gestão","2025"
"9uvmwrlkyjda8663r9ux19uvmwrfhi4j","desafio","Processar/armazenar alto volume","2025"
"9uvmwrlkyjda8663r9ux19uvmwrfhi4j","desafio","Gerenciar expectativa do negócio","2025"
"9uvmwrlkyjda8663r9ux19uvmwrfhi4j","desafio","Garantir ROI dos projetos","2025"
"5q6gu6fyc0hbf142zy5yi5q6guzhyq9l","desafio","Projetos multidisciplinares","2025"
"5q6gu6fyc0hbf142zy5yi5q6guzhyq9l","desafio","Qualidade/confiabilidade dos dados","2025"
"5q6gu6fyc0hbf142zy5yi5q6guzhyq9l","desafio","Dividir tempo técnico/gestão","2025"
"8m7mmblo7wb6nsnz08o8m7mmb8n0iogf","desafio","Gerar valor pro negócio","2025"
"8m7mmblo7wb6nsnz08o8m7mmb8n0iogf","desafio","Levar inovação pra empresa","2025"
"8m7mmblo7wb6nsnz08o8m7mmb8n0iogf","desafio","Dividir tempo técnico/gestão","2025"
"pk7hnr3pch8s8b122pk7hnru2y29mjo2","desafio","Gerenciar expectativa do negócio","2025"
"pk7hnr3pch8s8b122pk7hnru2y29mjo2","desafio","Levar inovação pra empresa","2025"
"ird0bnmzladirdsl9q2rdlsn3b439obk","desafio","Qualidade/confiabilidade dos dados","2025"
"ird0bnmzladirdsl9q2rdlsn3b439obk","desafio","Gerar valor pro negócio","2025"
"ird0bnmzladirdsl9q2rdlsn3b439obk","desafio","Dividir tempo técnico/gestão","2025"
"lzts8x0lvwcz8rh2m456lzts8xvqvmfx","desafio","Projetos multidisciplinares","2025"
"lzts8x0lvwcz8rh2m456lzts8xvqvmfx","desafio","Qualidade/confiabilidade dos dados","2025"
"lzts8x0lvwcz8rh2m456lzts8xvqvmfx","desafio","Manter projetos em produção","2025"
"im0gql6klor6ft3ihiim0gqlhyryejlk","desafio","Qualidade/confiabilidade dos dados","2025"
"im0gql6klor6ft3ihiim0gqlhyryejlk","desafio","Gerenciar expectativa do negócio","2025"
"ydcuheuxyoe0f48apcd8ydcuhezsi09p","desafio","Qualidade/confiabilidade dos dados","2025"
"ydcuheuxyoe0f48apcd8ydcuhezsi09p","desafio","Gerar valor pro negócio","2025"
"ydcuheuxyoe0f48apcd8ydcuhezsi09p","desafio","Levar inovação pra empresa","2025"
"e089pownt57olh3e089pbw9wy0oqmk7f","desafio","Projetos multidisciplinares","2025"
"e089pownt57olh3e089pbw9wy0oqmk7f","desafio","Gerenciar expectativa do negócio","2025"
"e089pownt57olh3e089pbw9wy0oqmk7f","desafio","Dividir tempo técnico/gestão","2025"
"hozj2nwx02ji8chozj2mtei7zwqhyk0s","desafio","Convencer a aumentar investimento","2025"
"hozj2nwx02ji8chozj2mtei7zwqhyk0s","desafio","Gerenciar expectativa do negócio","2025"
"hozj2nwx02ji8chozj2mtei7zwqhyk0s","desafio","Garantir ROI dos projetos","2025"
"qakueymdaev0zswsqakuezfd7sfkcdqd","desafio","Reter talentos","2025"
"qakueymdaev0zswsqakuezfd7sfkcdqd","desafio","Dividir tempo técnico/gestão","2025"
"6ltbr5z2pyoj8v0o6ltbj18a8a5r3rqz","desafio","Projetos multidisciplinares","2025"
"p20dwtuqoz7hl8vdp20dm92l9mqpv5vx","desafio","Gerar valor pro negócio","2025"
"p20dwtuqoz7hl8vdp20dm92l9mqpv5vx","desafio","Manter projetos em produção","2025"
"p20dwtuqoz7hl8vdp20dm92l9mqpv5vx","desafio","Dividir tempo técnico/gestão","2025"
"awu7eq5y36u74glszfewawu7e7vi5caw","desafio","Gerar valor pro negócio","2025"
"awu7eq5y36u74glszfewawu7e7vi5caw","desafio","Gerenciar expectativa do negócio","2025"
"awu7eq5y36u74glszfewawu7e7vi5caw","desafio","Manter projetos em produção","2025"
"2fblj5z1zolyfuwxuzc72fblj5z66hap","desafio","Gerar valor pro negócio","2025"
"2fblj5z1zolyfuwxuzc72fblj5z66hap","desafio","Levar inovação pra empresa","2025"
"2fblj5z1zolyfuwxuzc72fblj5z66hap","desafio","Dividir tempo técnico/gestão","2025"
"8b22bul449xyzzjdws28b22b2ec4li4z","desafio","Dividir tempo técnico/gestão","2025"
"tasq8vlee2fjdbritasq8vppg02g3079","desafio","Gestão de equipes remotas","2025"
"tasq8vlee2fjdbritasq8vppg02g3079","desafio","Gerar valor pro negócio","2025"
"tasq8vlee2fjdbritasq8vppg02g3079","desafio","Levar inovação pra empresa","2025"
"1h4d4knfgw1il2hrxxd1h4d4kne3sfx1","desafio","Projetos multidisciplinares","2025"
"8wkieyd66umwj8wkiwz7s16hyuf73yr2","responsabilidade","Atração/seleção de talentos","2023"
"8wkieyd66umwj8wkiwz7s16hyuf73yr2","responsabilidade","Gestão de produtos de dados","2023"
"8wkieyd66umwj8wkiwz7s16hyuf73yr2","responsabilidade","Gestão de pessoas","2023"
"uf73wm0av5rj4y5jcn4uf73wmirg84sz","responsabilidade","Ainda atua tecnicamente","2023"
"hrsb1orjj0bus0cvrbhrsbjzm0wfuvxb","responsabilidade","Visão de longo prazo de dados","2023"
"hrsb1orjj0bus0cvrbhrsbjzm0wfuvxb","responsabilidade","Gestor de estudos/relatórios","2023"
"hrsb1orjj0bus0cvrbhrsbjzm0wfuvxb","responsabilidade","Gestão de produtos de dados","2023"
"3oad733jfin3xe5w3oabvl835eosyktq","responsabilidade","Visão de longo prazo de dados","2023"
"1h4d4knfgw1il2hrxxd1h4d4kne3sfx1","desafio","Qualidade/confiabilidade dos dados","2025"
"1h4d4knfgw1il2hrxxd1h4d4kne3sfx1","desafio","Gerenciar expectativa do negócio","2025"
"ps3o7cs75cca0tbdwbops3o72ndnfj9z","desafio","Projetos multidisciplinares","2025"
"ps3o7cs75cca0tbdwbops3o72ndnfj9z","desafio","Manter modelos de ML em produção","2025"
"ps3o7cs75cca0tbdwbops3o72ndnfj9z","desafio","Manter projetos em produção","2025"
"6gv8ud59997eo12zepv6gv8ul5iy8mkm","desafio","Projetos multidisciplinares","2025"
"6gv8ud59997eo12zepv6gv8ul5iy8mkm","desafio","Garantir ROI dos projetos","2025"
"6gv8ud59997eo12zepv6gv8ul5iy8mkm","desafio","Dividir tempo técnico/gestão","2025"
"yckr4cbbo6jxesx4yckr4ck97ksxf7tb","desafio","Reter talentos","2025"
"yckr4cbbo6jxesx4yckr4ck97ksxf7tb","desafio","Convencer a aumentar investimento","2025"
"yckr4cbbo6jxesx4yckr4ck97ksxf7tb","desafio","Gerenciar expectativa do negócio","2025"
"3oad733jfin3xe5w3oabvl835eosyktq","responsabilidade","Contratação de ferramentas","2023"
"3oad733jfin3xe5w3oabvl835eosyktq","responsabilidade","Gestão de produtos de dados","2023"
"0q472yy1a4ua38hg0q42byo044ngq1sb","responsabilidade","Visão de longo prazo de dados","2023"
"0q472yy1a4ua38hg0q42byo044ngq1sb","responsabilidade","Atração/seleção de talentos","2023"
"0q472yy1a4ua38hg0q42byo044ngq1sb","responsabilidade","Contratação de ferramentas","2023"
"71kyufup2jtafiz1i71kyuao1dzty935","responsabilidade","Visão de longo prazo de dados","2023"
"71kyufup2jtafiz1i71kyuao1dzty935","responsabilidade","Treinamentos/maturidade analítica","2023"
"71kyufup2jtafiz1i71kyuao1dzty935","responsabilidade","Contratação de ferramentas","2023"
"71kyufup2jtafiz1i71kyuao1dzty935","responsabilidade","Gestor de engenharia de dados","2023"
"71kyufup2jtafiz1i71kyuao1dzty935","responsabilidade","Ainda atua tecnicamente","2023"
"71kyufup2jtafiz1i71kyuao1dzty935","responsabilidade","Gestão de produtos de dados","2023"
"71kyufup2jtafiz1i71kyuao1dzty935","responsabilidade","Gestão de pessoas","2023"
