"respondente_id","categoria","item","ano_pesquisa"
"dqp2818zng9rjdqpbhml502z3y6740wc","uso_pessoal","Uso solução gratuita","2023"
"t5jomz42r2mwneqdu5tt5jomzblz8ge0","uso_empresa_gestor","Uso independente/descentralizado","2025"
"9yt0oidpsa4jjqfm9yt0oidpc6tqswu4","uso_pessoal","Uso solução gratuita","2023"
"ktotxklcjip6y0kt2q674u85aer4kw2q","uso_pessoal","Uso solução gratuita","2023"
"t5jomz42r2mwneqdu5tt5jomzblz8ge0","uso_empresa_gestor","Direcionamento centralizado","2025"
"t5jomz42r2mwneqdu5tt5jomzblz8ge0","uso_empresa_gestor","Devs usando Copilots","2025"
"2y7mhltbrvb9xq9mxbiw2y71jk9u4fh4","uso_pessoal","Uso solução gratuita","2023"
"votj2yv1tpzyc6oashvotj2ysojsdnn1","uso_pessoal","Uso e pago (próprio bolso)","2023"
"votj2yv1tpzyc6oashvotj2ysojsdnn1","uso_pessoal","Uso solução tipo Copilot","2023"
"9jjb1mztjxrbxoqfg1fnv9jjb1mbcpzn","uso_pessoal","Uso solução gratuita","2023"
"t5jomz42r2mwneqdu5tt5jomzblz8ge0","uso_empresa_gestor","Melhorar produtos externos","2025"
"t5jomz42r2mwneqdu5tt5jomzblz8ge0","uso_empresa_gestor","Melhorar produtos internos","2025"
"b3huzunrc07a2t7maqib3huzr733pzkv","uso_empresa_gestor","Melhorar produtos internos","2025"
"3t97up43r72w9d243t971b5ehkdwfcme","uso_empresa_gestor","Devs usando Copilots","2025"
"auddekt9qvgz4eat7vft1audd54iwz81","uso_pessoal","Não uso IA para produtividade","2023"
"f1ssblccmgjlmemphef1s48iml3e0u0j","uso_pessoal","Uso solução gratuita","2023"
"h93h9u79hg4p5kog8u0cfh93h9uy3qf4","uso_pessoal","Não uso IA para produtividade","2023"
"ec3fjymu412ica4dgvjui1ec3fjyi4ky","uso_pessoal","Uso solução gratuita","2023"
"eegafmfc2jasnpngiy68eegafmhwd26j","uso_pessoal","Uso solução gratuita","2023"
"2m8ct6h4tui95ovbm2m8ctr5affqp4t1","uso_pessoal","Uso solução gratuita","2023"
"uei16toixf8frhcgln8uei169sigg3st","uso_pessoal","Não uso IA para produtividade","2023"
"hpx8ojgvumgeklalvshpx8ozzk8l2lj2","uso_pessoal","Uso solução gratuita","2023"
"3t97up43r72w9d243t971b5ehkdwfcme","uso_empresa_gestor","Melhorar produtos internos","2025"
"mn9afnlwnyho57mfp7mn9afnlw14vus4","uso_empresa_gestor","Uso independente/descentralizado","2025"
"mn9afnlwnyho57mfp7mn9afnlw14vus4","uso_empresa_gestor","Melhorar produtos externos","2025"
"yrww3jq93vmoydyrww3j9ighi9u82o1y","uso_empresa_gestor","Devs usando Copilots","2025"
"yrww3jq93vmoydyrww3j9ighi9u82o1y","uso_empresa_gestor","Melhorar produtos internos","2025"
"wf5jnfgi70x2bxvpwf3ypv4nphp8uf5f","uso_empresa_gestor","Direcionamento centralizado","2025"
"wf5jnfgi70x2bxvpwf3ypv4nphp8uf5f","uso_empresa_gestor","Devs usando Copilots","2025"
"wf5jnfgi70x2bxvpwf3ypv4nphp8uf5f","uso_empresa_gestor","Melhorar produtos externos","2025"
"4brablf28v75z7hvwpd4branwtip5v2t","uso_pessoal","Uso solução gratuita","2023"
"ortrwdatfr2eb239ortrwm6o2m92puhh","uso_pessoal","Uso solução gratuita","2023"
"rwsseh8adluiuganrsrwssuln8rm2i6j","uso_pessoal","Empresa paga a solução","2023"
"muagxhuc0g99d230p2fv5nlmuagxjwo9","uso_pessoal","Uso solução gratuita","2023"
"b1sb974ifjlt8f979aga9b1sb9szzi48","uso_pessoal","Uso solução tipo Copilot","2023"
"lxohfzi5t3as6337im8llxohfzklgv9x","uso_pessoal","Uso solução gratuita","2023"
"6lnbruwg6zx1mxcqud6lnbqre8vq0bge","uso_pessoal","Uso solução gratuita","2023"
"9vwyfo6qwncuhlz8qzq0mz9vwyfo03it","uso_pessoal","Empresa paga a solução","2023"
"06zhqgd6dr4xjy06zhqg21con02zwy42","uso_pessoal","Não uso IA para produtividade","2023"
"p1y9fbjkbgqhia9l57kjp1y9fbe3872q","uso_pessoal","Não uso IA para produtividade","2023"
"q9coe2voxon5wo10n1w6bvsrq9coe2vf","uso_pessoal","Uso solução gratuita","2023"
"q9coe2voxon5wo10n1w6bvsrq9coe2vf","uso_pessoal","Uso solução tipo Copilot","2023"
"qubtwtexasjwuuier0ifequbtwttp5zr","uso_pessoal","Não uso IA para produtividade","2023"
"a59rfu5y0qn6x7p4ooi7oiba59rfu5y0","uso_pessoal","Uso solução tipo Copilot","2023"
"tamut6g6gnavvx8rmtamutj4xq3bsirf","uso_pessoal","Uso solução gratuita","2023"
"ndyuilqngr44ccamndy24ukwqoc47p5u","uso_pessoal","Uso solução gratuita","2023"
"d6d46xvmt0aza5syua3d6d46xbancxq7","uso_empresa_gestor","Devs usando Copilots","2025"
