"respondente_id","idade","faixa_idade","genero","cor_raca_etnia","pcd","uf_atual","regiao_atual","nivel_ensino","setor_atual","num_funcionarios","atua_como_gestor","cargo_atual","senioridade","faixa_salarial","faixa_salarial_valida","modalidade_atual","servico_cloud_preferido","ai_prioridade","ano_pesquisa"
"a0fse384msccpgz1ha0fse3aypmsgsu6","30","30-34","Masculino","Branca","Não","SP","Sudeste","Mestrado",,,,,,,,,,,"2025"
"gc7ngcwqf6revl8iz1gc7ngfg23yumhn","31","30-34","Masculino","Branca","Sim","PR","Sul","Graduação/Bacharelado","Tecnologia/Fábrica de Software","de 101 a 500","0","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 12.001/mês a R$ 16.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Google Cloud (GCP)",,"2025"
"8ds88xyv7q6f5t4t4opz8ds831flrh6c","30","30-34","Feminino","Branca","Não","RJ","Sudeste","Pós-graduação","Área da Saúde","de 501 a 1.000","1",,,"de R$ 6.001/mês a R$ 8.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial",,"Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","2025"
"f0gtrpzhp5aop7r51z4f0gtrpzpjzzrx","26","25-29","Masculino","Parda","Não","MG","Sudeste","Estudante de Graduação","Área de Consultoria","de 501 a 1.000","0","Analista de Dados/Data Analyst","Júnior","de R$ 6.001/mês a R$ 8.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Azure (Microsoft)",,"2025"
"zvzfhlz2zdebm6anglhzvzf4b79ap38c","34","30-34","Masculino","Branca","Não","SP","Sudeste","Pós-graduação","Setor Automotivo","Acima de 3.000","0","Outras Engenharias (não inclui dev)","Sênior","de R$ 6.001/mês a R$ 8.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial",,,"2025"
"8tkpjiberyh8tkqpct1spxcf4y4iqpct","50","50-54","Feminino","Preta","Não","SP","Sudeste","Pós-graduação","Área de Consultoria","de 1 a 5","1",,,"de R$ 16.001/mês a R$ 20.000/mês","true","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)",,,"2025"
"kjeiiiyfczwiowrr7kje0qlgvtleo39n","46","45-49","Masculino","Branca","Não","MG","Sudeste","Pós-graduação","Educação","de 101 a 500","0","Cientista de Dados/Data Scientist","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% remoto","Não sei opinar / Não tenho preferência",,"2025"
"ujzckmfqrnciphaphujzckmi914c43bi","38","35-39","Feminino","Branca","Não","SP","Sudeste","Pós-graduação","Outra Opção","de 501 a 1.000","0","Analista de BI/BI Analyst","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Azure (Microsoft)",,"2025"
"yzs9mienbyj0jl7yzs9m78v2g4bg4w3f","26","25-29","Masculino","Amarela","Não","SP","Sudeste","Graduação/Bacharelado","Finanças ou Bancos","Acima de 3.000","0","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 16.001/mês a R$ 20.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Google Cloud (GCP)",,"2025"
"0i7hiezjnv2kn35k40i7h2obw5zjvdk9","32","30-34","Masculino","Parda","Não","CE","Nordeste","Graduação/Bacharelado","Finanças ou Bancos","de 51 a 100","0","Analista de Negócios/Business Analyst","Júnior","de R$ 1.001/mês a R$ 2.000/mês","true","Modelo 100% remoto","Azure (Microsoft)",,"2025"
