"respondente_id","categoria","item","ano_pesquisa"
"hckni9r9xd0lfw4qvhck22v1mxbhi7z6","criterio_escolha","Remuneração/Salário","2023"
"hckni9r9xd0lfw4qvhck22v1mxbhi7z6","criterio_escolha","Aprendizado/referências na área","2023"
"hckni9r9xd0lfw4qvhck22v1mxbhi7z6","criterio_escolha","Maturidade em tecnologia/dados","2023"
"9q0jh3gwtvsznd9q0zh8wdhsk9bf8r8n","criterio_escolha","Remuneração/Salário","2023"
"9q0jh3gwtvsznd9q0zh8wdhsk9bf8r8n","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"9q0jh3gwtvsznd9q0zh8wdhsk9bf8r8n","criterio_escolha","Aprendizado/referências na área","2023"
"79nftpto8yn0lybuu79nftx5uuziy5s6","criterio_escolha","Remuneração/Salário","2023"
"79nftpto8yn0lybuu79nftx5uuziy5s6","criterio_escolha","Benefícios","2023"
"79nftpto8yn0lybuu79nftx5uuziy5s6","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"7eqc9ut5ds4i18qwez8x7eqc9qexru3n","criterio_escolha","Remuneração/Salário","2023"
"7eqc9ut5ds4i18qwez8x7eqc9qexru3n","criterio_escolha","Benefícios","2023"
"7eqc9ut5ds4i18qwez8x7eqc9qexru3n","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"zlheiw4one21hzlhenk11qv9f4sr2yd0","criterio_escolha","Remuneração/Salário","2023"
"zlheiw4one21hzlhenk11qv9f4sr2yd0","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"zlheiw4one21hzlhenk11qv9f4sr2yd0","criterio_escolha","Maturidade em tecnologia/dados","2023"
"38vzzndyuiw2p62ih38v7vdm8i0pju7x","criterio_escolha","Remuneração/Salário","2023"
"38vzzndyuiw2p62ih38v7vdm8i0pju7x","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"38vzzndyuiw2p62ih38v7vdm8i0pju7x","criterio_escolha","Plano de carreira","2023"
"jz23f3k4ueb3l4p4jz26qz2n3o4in5v8","criterio_escolha","Remuneração/Salário","2023"
"jz23f3k4ueb3l4p4jz26qz2n3o4in5v8","criterio_escolha","Propósito do trabalho/empresa","2023"
"jz23f3k4ueb3l4p4jz26qz2n3o4in5v8","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"jbl57wlyfzw006aplpsjbl5jgnh2nv1x","criterio_escolha","Remuneração/Salário","2023"
"jbl57wlyfzw006aplpsjbl5jgnh2nv1x","criterio_escolha","Flexibilidade de trabalho remoto","2023"
