"respondente_id","categoria","tecnologia","ano_pesquisa"
"8l30ga3itmopq3hjqfihp8l30gawq86x","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"m6b1qkry1i498m6b1wptcl16nidx1kyy","ferramenta_etl_engenheiro","Scripts Python","2024"
"90rtkgd4ukq12a8rbto90rkpoastrjla","ferramenta_etl_analista","Scripts Python","2024"
"90rtkgd4ukq12a8rbto90rkpoastrjla","ferramenta_etl_analista","Apache Airflow","2024"
"m6b1qkry1i498m6b1wptcl16nidx1kyy","ferramenta_etl_engenheiro","SQL & Stored Procedures","2024"
"m6b1qkry1i498m6b1wptcl16nidx1kyy","ferramenta_etl_engenheiro","Apache Airflow","2024"
"90rtkgd4ukq12a8rbto90rkpoastrjla","ferramenta_etl_analista","Pentaho","2024"
"quv9vzrc5ftp3lkb0gwquv9vzrg480a8","ferramenta_etl_analista","Scripts Python","2024"
"quv9vzrc5ftp3lkb0gwquv9vzrg480a8","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"ye5gll57038kg4buofq4lye5gll5e9g7","ferramenta_etl_analista","Scripts Python","2024"
"ye5gll57038kg4buofq4lye5gll5e9g7","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"318bgj9wybeffa7o318b4dja0mbn6rnv","ferramenta_etl_analista","Scripts Python","2024"
"318bgj9wybeffa7o318b4dja0mbn6rnv","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"8lukdyohgeytn4qz8lukdyoki533kxsm","ferramenta_etl_analista","Databricks","2024"
"9hm5nm67zjvsqnqnayi9hm5bqs1s7d33","ferramenta_etl_analista","Scripts Python","2024"
"9hm5nm67zjvsqnqnayi9hm5bqs1s7d33","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"902pcd1mfuuukmmc6nv6n902pcd1b2nl","ferramenta_etl_analista","Google Dataflow","2024"
"902pcd1mfuuukmmc6nv6n902pcd1b2nl","ferramenta_etl_analista","Oracle Data Integrator","2024"
"m6b1qkry1i498m6b1wptcl16nidx1kyy","ferramenta_etl_engenheiro","AWS Glue","2024"
"5g2s3xt7myp6j5gr6myltlru4c8p2uwe","ferramenta_etl_engenheiro","Scripts Python","2024"
"5g2s3xt7myp6j5gr6myltlru4c8p2uwe","ferramenta_etl_engenheiro","SQL & Stored Procedures","2024"
"5g2s3xt7myp6j5gr6myltlru4c8p2uwe","ferramenta_etl_engenheiro","SSIS","2024"
"dxghrwg3cs01w0ycjzpnndxghrwu8u2o","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"4x89f2rr3f5ix7albf64x8c4valxbnad","ferramenta_etl_analista","Scripts Python","2024"
"9li990x03207c69li990xbm6zlmjlazv","ferramenta_etl_analista","Scripts Python","2024"
"hrppvhhrrnscp9vhrfxy8pkhf6328jbs","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"35rw7wp4ze1fg3d935rw7i6qgo3s6g86","ferramenta_etl_analista","Scripts Python","2024"
"69pghn76cr159aoyvypdo69pghn7upn7","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"pi3nogjpr1oecm8yccpi3nog2tab70r4","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"rdj689t91xwim1d03brdj636xz50fi32","ferramenta_etl_analista","Scripts Python","2024"
"rdj689t91xwim1d03brdj636xz50fi32","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"ej1qxys1kqljvpkpwej1qxqfl473xcnd","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"ej1qxys1kqljvpkpwej1qxqfl473xcnd","ferramenta_etl_analista","Databricks","2024"
"5y380x4sk5betrr5y380q7r2qkv7o7c6","ferramenta_etl_analista","Scripts Python","2024"
"5y380x4sk5betrr5y380q7r2qkv7o7c6","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"5y380x4sk5betrr5y380q7r2qkv7o7c6","ferramenta_etl_analista","AWS Glue","2024"
"vjxclnqkrcvcqeop0uhvlvjxcl116i80","ferramenta_etl_analista","Scripts Python","2024"
"vjxclnqkrcvcqeop0uhvlvjxcl116i80","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"5g2s3xt7myp6j5gr6myltlru4c8p2uwe","ferramenta_etl_engenheiro","Databricks","2024"
"12h88h4tr7tndpfer12hxjjt85sfmrpy","ferramenta_etl_engenheiro","SQL & Stored Procedures","2024"
"12h88h4tr7tndpfer12hxjjt85sfmrpy","ferramenta_etl_engenheiro","SSIS","2024"
"hnk8gdylgfg6isxc4dm9nhnk88j95drx","ferramenta_etl_engenheiro","Scripts Python","2024"
"hnk8gdylgfg6isxc4dm9nhnk88j95drx","ferramenta_etl_engenheiro","SQL & Stored Procedures","2024"
"hnk8gdylgfg6isxc4dm9nhnk88j95drx","ferramenta_etl_engenheiro","AWS Glue","2024"
"hnk8gdylgfg6isxc4dm9nhnk88j95drx","ferramenta_etl_engenheiro","Alteryx","2024"
"r5o7glbh9rsym9awuqr5o7gl6w1op5oa","ferramenta_etl_engenheiro","Scripts Python","2024"
"r5o7glbh9rsym9awuqr5o7gl6w1op5oa","ferramenta_etl_engenheiro","SQL & Stored Procedures","2024"
"r5o7glbh9rsym9awuqr5o7gl6w1op5oa","ferramenta_etl_engenheiro","Apache Airflow","2024"
"r5o7glbh9rsym9awuqr5o7gl6w1op5oa","ferramenta_etl_engenheiro","SSIS","2024"
"r5o7glbh9rsym9awuqr5o7gl6w1op5oa","ferramenta_etl_engenheiro","Databricks","2024"
"h3vdtxtemfitvoh3vdtmicewmz6pzptx","ferramenta_etl_engenheiro","Scripts Python","2024"
"h3vdtxtemfitvoh3vdtmicewmz6pzptx","ferramenta_etl_engenheiro","SQL & Stored Procedures","2024"
"h3vdtxtemfitvoh3vdtmicewmz6pzptx","ferramenta_etl_engenheiro","Apache Airflow","2024"
"h3vdtxtemfitvoh3vdtmicewmz6pzptx","ferramenta_etl_engenheiro","Fivetran","2024"
"h3vdtxtemfitvoh3vdtmicewmz6pzptx","ferramenta_etl_engenheiro","Databricks","2024"
"yk55cdr7nrkd63euyk55c2x651ket535","ferramenta_etl_engenheiro","Apache Airflow","2024"
"yk55cdr7nrkd63euyk55c2x651ket535","ferramenta_etl_engenheiro","Databricks","2024"
"sbmjpuke0hnbg3invtsbmjfaps2qaohh","ferramenta_etl_engenheiro","Scripts Python","2024"
"abovzaewkazritabovf1k84p3va7t3jr","ferramenta_etl_engenheiro","Scripts Python","2024"
"abovzaewkazritabovf1k84p3va7t3jr","ferramenta_etl_engenheiro","SQL & Stored Procedures","2024"
"abovzaewkazritabovf1k84p3va7t3jr","ferramenta_etl_engenheiro","Apache Airflow","2024"
"abovzaewkazritabovf1k84p3va7t3jr","ferramenta_etl_engenheiro","Pentaho","2024"
"0a7voxondeqgdlz7rkepv0a7voo8ulv9","ferramenta_etl_analista","Scripts Python","2024"
"0a7voxondeqgdlz7rkepv0a7voo8ulv9","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"0a7voxondeqgdlz7rkepv0a7voo8ulv9","ferramenta_etl_analista","Apache Airflow","2024"
"0a7voxondeqgdlz7rkepv0a7voo8ulv9","ferramenta_etl_analista","Databricks","2024"
"81yadjpw9lx29qsv8k7dcneygcra4deo","ferramenta_etl_analista","Databricks","2024"
"c5r1krv5ctosuiv8ff6c5romqtfu4pyb","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"9hteas6az9qegdfr49hterfwhcp7bpuf","ferramenta_etl_analista","Scripts Python","2024"
"n24w1r16ep90y9zfn24w1r16q9beffjd","ferramenta_etl_analista","Scripts Python","2024"
"n24w1r16ep90y9zfn24w1r16q9beffjd","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"3tb59aj9sbwkhuv53tb5nlkvgyvlugml","ferramenta_etl_analista","Scripts Python","2024"
"3tb59aj9sbwkhuv53tb5nlkvgyvlugml","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"3tb59aj9sbwkhuv53tb5nlkvgyvlugml","ferramenta_etl_analista","Apache Airflow","2024"
"w15km84atj4idhnh3hx0w15km89ajtcd","ferramenta_etl_analista","Scripts Python","2024"
"w15km84atj4idhnh3hx0w15km89ajtcd","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"xp1gza49yef3gqm6xp1g98d3f3qej97k","ferramenta_etl_analista","Databricks","2024"
"cp5kymqrphmstecp5m2i0m47xfs5p66d","ferramenta_etl_analista","Scripts Python","2024"
"cp5kymqrphmstecp5m2i0m47xfs5p66d","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"cp5kymqrphmstecp5m2i0m47xfs5p66d","ferramenta_etl_analista","Databricks","2024"
"kwn5mbi9u7vrthtj2zizkwnwzwjeqiz9","ferramenta_etl_analista","Databricks","2024"
"hk9kypmwlkyh9agyeddpn8hk9kye4kz2","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"m5tr3i05wfp6plnpm5tr3wfylicteobg","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"m5tr3i05wfp6plnpm5tr3wfylicteobg","ferramenta_etl_analista","Apache Airflow","2024"
"m5tr3i05wfp6plnpm5tr3wfylicteobg","ferramenta_etl_analista","Google Dataflow","2024"
"m5tr3i05wfp6plnpm5tr3wfylicteobg","ferramenta_etl_analista","Databricks","2024"
"ov2gh195d1u8qojufyov2gh3jj1ohakq","ferramenta_etl_analista","Scripts Python","2024"
"a6149rseoljohm5x9vnva6149rdg7omu","ferramenta_etl_analista","Scripts Python","2024"
"4km1ztb0b6tv34km1zpgdobcbf6ifyt5","ferramenta_etl_analista","Scripts Python","2024"
"4km1ztb0b6tv34km1zpgdobcbf6ifyt5","ferramenta_etl_analista","SAS Data Integration","2024"
"4km1ztb0b6tv34km1zpgdobcbf6ifyt5","ferramenta_etl_analista","Databricks","2024"
"6k0i7uus8xi8txx97nnm376k0i7uuay3","ferramenta_etl_analista","Apache Airflow","2024"
"7yrwu9xodtrwieia7yrwf3ci42w5t3vg","ferramenta_etl_analista","Scripts Python","2024"
"7yrwu9xodtrwieia7yrwf3ci42w5t3vg","ferramenta_etl_analista","SQL & Stored Procedures","2024"
"abovzaewkazritabovf1k84p3va7t3jr","ferramenta_etl_engenheiro","SSIS","2024"
