"respondente_id","categoria","tecnologia","ano_pesquisa"
"djpc3zkhblh6dgkharep7rvdjpc3zoe1","linguagem","SQL","2024"
"vr55b5ut4vq2ef6r6vr5lfam83rqd3f6","linguagem","SQL","2024"
"vr55b5ut4vq2ef6r6vr5lfam83rqd3f6","linguagem","Python","2024"
"bxiybh548pcafmkz9jbxiybclpquj1uk","linguagem","SQL","2024"
"bxiybh548pcafmkz9jbxiybclpquj1uk","linguagem","Python","2024"
"t44vvxqogchjvfhyiat44vvx8ayeh9ci","linguagem","SQL","2024"
"t44vvxqogchjvfhyiat44vvx8ayeh9ci","linguagem","Python","2024"
"s73xiy4spvoy6eft47js73xiy60upg73","linguagem","SQL","2024"
"s73xiy4spvoy6eft47js73xiy60upg73","linguagem","Python","2024"
"s73xiy4spvoy6eft47js73xiy60upg73","linguagem","Visual Basic/VBA","2024"
"eyf43xo13ryklufeeyf43jb1g7v6lwyy","linguagem","Python","2024"
"k9tj3yhgnifsnw9vrrk9tj3y7cu4zdl6","linguagem","SQL","2024"
"k9tj3yhgnifsnw9vrrk9tj3y7cu4zdl6","linguagem","Python","2024"
"r4nya5yv2fj7rjrb0emrmkfy4bq0bset","linguagem","SQL","2024"
"r4nya5yv2fj7rjrb0emrmkfy4bq0bset","linguagem","Python","2024"
"dkpsshmh7xc3jmiytsjdkpsshmh2ncks","linguagem","SQL","2024"
"dkpsshmh7xc3jmiytsjdkpsshmh2ncks","linguagem","Python","2024"
"91he7jsqh7yhma7h9jvij91he7jyxakr","linguagem","SQL","2024"
"u6b9kzlvgd2o2yjwlbku6b99h369hkg5","linguagem","SQL","2024"
"u6b9kzlvgd2o2yjwlbku6b99h369hkg5","linguagem","Python","2024"
"yaan5nfdfngao1h81dyaan5kxymup79b","linguagem","SQL","2024"
"yaan5nfdfngao1h81dyaan5kxymup79b","linguagem","Python","2024"
"5arsescy60d6zl5lami5arsee36bdx9t","linguagem","SQL","2024"
"5arsescy60d6zl5lami5arsee36bdx9t","linguagem","Python","2024"
"ucizooawsgv0r3cucizooarwpa3cfy02","linguagem","SQL","2024"
"ucizooawsgv0r3cucizooarwpa3cfy02","linguagem","Python","2024"
"7lrv8qulmml57daa7lrv861vk9gdvtr2","linguagem","SQL","2024"
"7lrv8qulmml57daa7lrv861vk9gdvtr2","linguagem","Python","2024"
"7lrv8qulmml57daa7lrv861vk9gdvtr2","linguagem","Visual Basic/VBA","2024"
"hsdvcwagghkr36v1hsdvcy97brnp3cen","linguagem","SQL","2024"
"hsdvcwagghkr36v1hsdvcy97brnp3cen","linguagem","Python","2024"
"237zskf2ww2eps4m3237zsa68sd1b8wq","linguagem","SQL","2024"
"237zskf2ww2eps4m3237zsa68sd1b8wq","linguagem","Python","2024"
"d7apetf34wf9fgsd7ap5n4v4h0sa7c37","linguagem","R","2024"
"d7apetf34wf9fgsd7ap5n4v4h0sa7c37","linguagem","Python","2024"
"cxlf2yg39acxhtyh1fuepbu06v9iahty","linguagem","SQL","2024"
"cxlf2yg39acxhtyh1fuepbu06v9iahty","linguagem","Python","2024"
"07gfx7blxbjhrfdg6hyqc207gfx7fcq5","linguagem","SQL","2024"
"07gfx7blxbjhrfdg6hyqc207gfx7fcq5","linguagem","Python","2024"
"dkgwywvgu9hwah8tdkgwey2kuwukvvd6","linguagem","SQL","2024"
"dkgwywvgu9hwah8tdkgwey2kuwukvvd6","linguagem","Python","2024"
"a1nsqjokrqdyw9j3a1nsqjqzkr7pjxa1","linguagem","SQL","2024"
"a1nsqjokrqdyw9j3a1nsqjqzkr7pjxa1","linguagem","Python","2024"
"0buurfftcdzmy7v0buu7in4qjkmrm8zc","linguagem","SQL","2024"
"0buurfftcdzmy7v0buu7in4qjkmrm8zc","linguagem","R","2024"
"0buurfftcdzmy7v0buu7in4qjkmrm8zc","linguagem","Python","2024"
"elfw7ddfk7ci3belfyrigea0ofs1vuli","linguagem","R","2024"
"elfw7ddfk7ci3belfyrigea0ofs1vuli","linguagem","Python","2024"
"90rtkgd4ukq12a8rbto90rkpoastrjla","linguagem","SQL","2024"
"90rtkgd4ukq12a8rbto90rkpoastrjla","linguagem","Python","2024"
"7v48by2r1cafeq0g7v4ew0slx6obelxe","linguagem","SQL","2024"
"7v48by2r1cafeq0g7v4ew0slx6obelxe","linguagem","Python","2024"
"7v48by2r1cafeq0g7v4ew0slx6obelxe","linguagem","Visual Basic/VBA","2024"
"7v48by2r1cafeq0g7v4ew0slx6obelxe","linguagem","PHP","2024"
"iewuwx7ha3vkik55od63x0jri5kik55f","linguagem","SQL","2024"
"iewuwx7ha3vkik55od63x0jri5kik55f","linguagem","Python","2024"
"0sei32qhwiqbaxyw0q0sei32hywh4qoo","linguagem","SQL","2024"
"0sei32qhwiqbaxyw0q0sei32hywh4qoo","linguagem","Python","2024"
"mgk0hesd85zgogpgvlztymgk0hed622e","linguagem","SQL","2024"
"mgk0hesd85zgogpgvlztymgk0hed622e","linguagem","Python","2024"
"wkopti7d9ezrvvfwswkopu85z47ibi2q","linguagem","SQL","2024"
"wkopti7d9ezrvvfwswkopu85z47ibi2q","linguagem","Python","2024"
"wkopti7d9ezrvvfwswkopu85z47ibi2q","linguagem","Scala","2024"
"sis6ak96c4haqdltadjsis6ak700wnfq","linguagem","SQL","2024"
"sis6ak96c4haqdltadjsis6ak700wnfq","linguagem","Python","2024"
"78rvbdd6ok254tclvun78rvbduvet1vj","linguagem","SQL","2024"
"78rvbdd6ok254tclvun78rvbduvet1vj","linguagem","Python","2024"
"uu6umo3oz98kdz1zkivuu6umo1q02bcx","linguagem","Python","2024"
"469nsg1852ftcaaesztcwk1469nsgnas","linguagem","SQL","2024"
"469nsg1852ftcaaesztcwk1469nsgnas","linguagem","Python","2024"
"469nsg1852ftcaaesztcwk1469nsgnas","linguagem","Java","2024"
"469nsg1852ftcaaesztcwk1469nsgnas","linguagem","JavaScript","2024"
"sdi6hn4mwhwnjmafy9hc6sdi6hn68728","linguagem","SQL","2024"
"sdi6hn4mwhwnjmafy9hc6sdi6hn68728","linguagem","Python","2024"
"sdi6hn4mwhwnjmafy9hc6sdi6hn68728","linguagem","Java","2024"
"f1jplhztac5nj0mj6px0xvf1jplohd0h","linguagem","SQL","2024"
"f1jplhztac5nj0mj6px0xvf1jplohd0h","linguagem","Python","2024"
"n67k5o0td8o4xetpdn67k5odshfof9zv","linguagem","SQL","2024"
"n67k5o0td8o4xetpdn67k5odshfof9zv","linguagem","Python","2024"
"mhbldot1ihgd7iceeamhbldotobyi04w","linguagem","SQL","2024"
"mhbldot1ihgd7iceeamhbldotobyi04w","linguagem","Python","2024"
"mhbldot1ihgd7iceeamhbldotobyi04w","linguagem",".NET","2024"
"f7r3g0im9a9npo6mf7r3g75wtv5pynh8","linguagem","SQL","2024"
"f7r3g0im9a9npo6mf7r3g75wtv5pynh8","linguagem","Python","2024"
"f7r3g0im9a9npo6mf7r3g75wtv5pynh8","linguagem","Matlab","2024"
"fcz95v3u0q2f7gfcz9fuu4c59a2tmvss","linguagem","SQL","2024"
"fcz95v3u0q2f7gfcz9fuu4c59a2tmvss","linguagem","Python","2024"
"68x5b0lb3hgd4veh68x5b0wmdfnrbpsx","linguagem","SQL","2024"
"68x5b0lb3hgd4veh68x5b0wmdfnrbpsx","linguagem","Python","2024"
"v0wp3ogutt7b4pa59v0wp3ogi4mivvar","linguagem","SQL","2024"
"v0wp3ogutt7b4pa59v0wp3ogi4mivvar","linguagem","Python","2024"
"p9hfdz8jav6higb6p9hfdgka9ukn7r5c","linguagem","SQL","2024"
"p9hfdz8jav6higb6p9hfdgka9ukn7r5c","linguagem","Python","2024"
"p9hfdz8jav6higb6p9hfdgka9ukn7r5c","linguagem","SAS/Stata","2024"
"11ya53gnmyx6jbusjhk0z611ya53gcgp","linguagem","SQL","2024"
