nome_padronizado,nome_2023,nome_2024,nome_2025,
id,"('P0', 'id')",0.a_token,0.a_token,
data_resposta,,0.d_data/hora_envio,0.d_data/hora_envio,
idade,"('P1_a ', 'Idade')",1.a_idade,1.a_idade,
faixa_idade,"('P1_a_1 ', 'Faixa idade')",1.a.1_faixa_idade,1.a.1_faixa_idade,
genero,"('P1_b ', 'Genero')",1.b_genero,1.b_genero,
cor_raca_etnia,"('P1_c ', 'Cor/raca/etnia')",1.c_cor/raca/etnia,1.c_cor/raca/etnia,
pcd,"('P1_d ', 'PCD')",1.d_pcd,1.d_pcd,
profissao_prejudicada,"('P1_e ', 'experiencia_profissional_prejudicada')",1.e_experiencia_profissional_prejudicada,1.e_experiencia_profissional_prejudicada,
profissao_prejudicada_nao,"('P1_e_1 ', 'Não acredito que minha experiência profissional seja afetada')",1.e.1_Não acredito que minha experiência profissional seja afetada,1.e.1_Não acredito que minha experiência profissional seja afetada,
profissao_prejudicada_etnia,"('P1_e_2 ', 'Experiencia prejudicada devido a minha Cor Raça Etnia')","1.e.2_Sim, devido a minha Cor/Raça/Etnia","1.e.2_Sim, devido a minha Cor/Raça/Etnia",
profissao_prejudicada_genero,"('P1_e_3 ', 'Experiencia prejudicada devido a minha identidade de gênero')","1.e.3_Sim, devido a minha identidade de gênero","1.e.3_Sim, devido a minha identidade de gênero",
profissao_prejudicada_pcd,"('P1_e_4 ', 'Experiencia prejudicada devido ao fato de ser PCD')","1.e.4_Sim, devido ao fato de ser PCD","1.e.4_Sim, devido ao fato de ser PCD",
uf_atual,"('P1_i_1 ', 'uf onde mora')",1.i.1_uf_onde_mora,1.i.1_uf_onde_mora,
aspectos_prejudicados_qtd_vagas,"('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')",1.f.1_Quantidade de oportunidades de emprego/vagas recebidas,1.f.1_Quantidade de oportunidades de emprego/vagas recebidas,
aspectos_prejudicados_senioridade_vagas,"('P1_f_2', 'Senioridade das vagas recebidas em relação à sua experiência')",1.f.2_Senioridade das vagas recebidas em relação à sua experiência,1.f.2_Senioridade das vagas recebidas em relação à sua experiência,
aspectos_prejudicados_aprovacao_vagas,"('P1_f_3', 'Aprovação em processos seletivos/entrevistas')",1.f.3_Aprovação em processos seletivos/entrevistas,1.f.3_Aprovação em processos seletivos/entrevistas,
aspectos_prejudicados_progressao_vagas,"('P1_f_4', 'Oportunidades de progressão de carreira')",1.f.4_Oportunidades de progressão de carreira,1.f.4_Oportunidades de progressão de carreira,
aspectos_prejudicados_velocidade_progressao,"('P1_f_5', 'Velocidade de progressão de carreira')",1.f.5_Velocidade de progressão de carreira,1.f.5_Velocidade de progressão de carreira,
aspectos_prejudicados_nivel_stress,"('P1_f_6', 'Nível de cobrança no trabalho/Stress no trabalho')",1.f.6_Nível de cobrança no trabalho/Stress no trabalho,1.f.6_Nível de cobrança no trabalho/Stress no trabalho,
aspectos_prejudicados_nivel_visibilidade,"('P1_f_7', 'Atenção dada diante das minhas opiniões e ideias')",1.f.7_Atenção dada pelas pessoas diante das minhas opiniões e ideias,1.f.7_Atenção dada pelas pessoas diante das minhas opiniões e ideias,
aspectos_prejudicados_network_interno,"('P1_f_8', 'Relação com outros membros da empresa, em momentos de trabalho')","1.f.8_Relação com outras pessoas da empresa, em momentos de trabalho","1.f.8_Relação com outras pessoas da empresa, em momentos de trabalho",
aspectos_prejudicados_network_externo,"('P1_f_9', 'Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho')","1.f.9_Relação com outras pessoas da empresa, em momentos de integração e outros momentos fora do trabalho","1.f.9_Relação com outras pessoas da empresa, em momentos de integração e outros momentos fora do trabalho",
regiao_atual,"('P1_i_2 ', 'Regiao onde mora')",1.i.2_regiao_onde_mora,1.i.2_regiao_onde_mora,
aspectos_prejudicados,"('P1_f ', 'aspectos_prejudicados')",1.f_aspectos_prejudicados,1.f_aspectos_prejudicados,
uf_original,,1.k.1_uf_de_origem,1.k.1_uf_de_origem,
regiao_original,"('P1_k ', 'Regiao de origem')",1.k.2_regiao_de_origem,1.k.2_regiao_de_origem,
pais_atual_brasil,"('P1_g ', 'vive_no_brasil')",1.g_vive_no_brasil,1.g_vive_no_brasil,
pais_atual,,1.h_pais_onde_mora,1.h_pais_onde_mora,
estado_atual,"('P1_i ', 'Estado onde mora')",1.i_estado_onde_mora,1.i_estado_onde_mora,
vive_no_estado_de_formacao,"('P1_j ', 'Mudou de Estado?')",1.j_vive_no_estado_de_formacao,1.j_vive_no_estado_de_formacao,"Obs: onde 2023 é sim, em 2024 e 2025 é não"
estado_original,,1.k_estado_de_origem,1.k_estado_de_origem,
nivel_ensino,"('P1_l ', 'Nivel de Ensino')",1.l_nivel_de_ensino,1.l_nivel_de_ensino,
area_formacao,"('P1_m ', 'Área de Formação')",1.m_área_de_formação,1.m_área_de_formação,
ocupacao_atual,"('P2_a ', 'Qual sua situação atual de trabalho?')",2.a_situação_de_trabalho,2.a_situação_de_trabalho,
setor_atual,"('P2_b ', 'Setor')",2.b_setor,2.b_setor,
num_funcionarios,"('P2_c ', 'Numero de Funcionarios')",2.c_numero_de_funcionarios,2.c_numero_de_funcionarios,
atua_como_gestor,"('P2_d ', 'Gestor?')",2.d_atua_como_gestor,2.d_atua_como_gestor,
cargo_como_gestor,"('P2_e ', 'Cargo como Gestor')",2.e_cargo_como_gestor,2.e_cargo_como_gestor,
cargo_atual,"('P2_f ', 'Cargo Atual')",2.f_cargo_atual,2.f_cargo_atual,
senioridade,"('P2_g ', 'Nivel')",2.g_nivel,2.g_nivel,
faixa_salarial,"('P2_h ', 'Faixa salarial')",2.h_faixa_salarial,2.h_faixa_salarial,
tempo_experiencia_dados,"('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')",2.i_tempo_de_experiencia_em_dados,2.i_tempo_de_experiencia_em_dados,
tempo_experiencia_ti,"('P2_j ', 'Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?')",2.j_tempo_de_experiencia_em_ti,2.j_tempo_de_experiencia_em_ti,
satisfacao_atual,"('P2_k ', 'Você está satisfeito na sua empresa atual?')",2.k_satisfeito_atualmente,2.k_satisfeito_atualmente,
insatisfacao_atual_salario,"('P2_l_2 ', 'Salário atual não corresponde ao mercado')",2.l.1_Remuneração/Salário,2.l.1_Remuneração/Salário,
insatisfacao_atual_beneficios,"('P2_l_5 ', 'Gostaria de receber mais benefícios')",2.l.2_Benefícios,2.l.2_Benefícios,
insatisfacao_atual_proposito,,2.l.3_Propósito do trabalho e da empresa,2.l.3_Propósito do trabalho e da empresa,
insatisfacao_atual_modalidade,,2.l.4_Flexibilidade de trabalho remoto,2.l.4_Flexibilidade de trabalho remoto,
insatisfacao_atual_ambiente,"('P2_l_6 ', 'O clima de trabalho/ambiente não é bom')",2.l.5_Ambiente e clima de trabalho,2.l.5_Ambiente e clima de trabalho,
insatisfacao_atual_desenvolvimento,,2.l.6_Oportunidade de aprendizado e trabalhar com referências,2.l.6_Oportunidade de aprendizado e trabalhar com referências,
insatisfacao_atual_progressao,"('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual')",2.l.7_Oportunidades de crescimento,2.l.7_Oportunidades de crescimento,
insatisfacao_atual_maturidade_dadosti,"('P2_l_7 ', 'Falta de maturidade analítica na empresa')",2.l.8_Maturidade da empresa em termos de tecnologia e dados,2.l.8_Maturidade da empresa em termos de tecnologia e dados,
insatisfacao_atual_relacao_gestao,"('P2_l_3 ', 'Não tenho uma boa relação com meu líder/gestor')",2.l.9_Relação com os gestores e líderes,2.l.9_Relação com os gestores e líderes,
insatisfacao_atual_reputacao,,2.l.10_Reputação que a empresa tem no mercado,2.l.10_Reputação que a empresa tem no mercado,
insatisfacao_atual_migrar,"('P2_l_4 ', 'Gostaria de trabalhar em em outra área de atuação')",2.l.11_Gostaria de trabalhar em outra área,2.l.11_Gostaria de trabalhar em outra área,
insatisfacao_atual,"('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?')",2.l_motivo_insatisfacao,2.l_motivo_insatisfacao,
entrevistas_6m,"('P2_m ', 'Você participou de entrevistas de emprego nos últimos 6 meses?')",2.m_participou_de_entrevistas_ultimos_6m,2.m_participou_de_entrevistas_ultimos_6m,
migrar_6m,"('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?')",2.n_planos_de_mudar_de_emprego_6m,2.n_planos_de_mudar_de_emprego_6m,
criterios_emprego,"('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')",2.o_criterios_para_escolha_de_emprego,2.o_criterios_para_escolha_de_emprego,
criterios_emprego_salario,"('P2_o_1 ', 'Remuneração/Salário')",2.o.1_Remuneração/Salário,2.o.1_Remuneração/Salário,
criterios_emprego_beneficios,"('P2_o_2 ', 'Benefícios')",2.o.2_Benefícios,2.o.2_Benefícios,
criterios_emprego_proposito,"('P2_o_3 ', 'Propósito do trabalho e da empresa')",2.o.3_Propósito do trabalho e da empresa,2.o.3_Propósito do trabalho e da empresa,
criterios_emprego_modalidade,"('P2_o_4 ', 'Flexibilidade de trabalho remoto')",2.o.4_Flexibilidade de trabalho remoto,2.o.4_Flexibilidade de trabalho remoto,
criterios_emprego_ambiente,"('P2_o_5 ', 'Ambiente e clima de trabalho')",2.o.5_Ambiente e clima de trabalho,2.o.5_Ambiente e clima de trabalho,
criterios_emprego_desenvolvimento,"('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')",2.o.6_Oportunidade de aprendizado e trabalhar com referências,2.o.6_Oportunidade de aprendizado e trabalhar com referências,
criterios_emprego_progressao,"('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')",2.o.7_Plano de carreira e oportunidades de crescimento,2.o.7_Plano de carreira e oportunidades de crescimento,
criterios_emprego_maturidade_dadosti,"('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')",2.o.8_Maturidade da empresa em termos de tecnologia e dados,2.o.8_Maturidade da empresa em termos de tecnologia e dados,
criterios_emprego_relacao_gestao,"('P2_o_9 ', 'Qualidade dos gestores e líderes')",2.o.9_Qualidade dos gestores e líderes,2.o.9_Qualidade dos gestores e líderes,
criterios_emprego_reputacao,"('P2_o_10 ', 'Reputação que a empresa tem no mercado')",2.o.10_Reputação que a empresa tem no mercado,2.o.10_Reputação que a empresa tem no mercado,
layoff,"('P2_q ', 'Empresa que trabaha passou por layoff em 2023')",2.q_empresa_passou_por_layoff_em_2024,2.p_empresa_passou_por_layoff_em_2025,
modalidade_atual,"('P2_r ', 'Atualmente qual a sua forma de trabalho?')",2.r_modelo_de_trabalho_atual,2.q_modelo_de_trabalho_atual,
modalidade_ideal,"('P2_s ', 'Qual a forma de trabalho ideal para você?')",2.s_modelo_de_trabalho_ideal,2.r_modelo_de_trabalho_ideal,
retorno_presencial,"('P2_t ', 'Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?')",2.t_atitude_em_caso_de_retorno_presencial,2.s_atitude_em_caso_de_retorno_presencial,
num_funcionarios_dados,"('P3_a ', 'Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?')",3.a_numero_de_pessoas_em_dados,3.a_numero_de_pessoas_em_dados,
cargos_dados,"('P3_b ', 'Quais desses papéis/cargos fazem parte do time (ou chapter) de dados da sua empresa?')",3.b_cargos_no_time_de_dados_da_empresa,3.b_cargos_no_time_de_dados_da_empresa,
cargos_dados_analytics_engineer,"('P3_b_1 ', 'Analytics Engineer')",3.b.1_Analytics Engineer,3.b.1_Analytics Engineer,
cargos_dados_data_engineer,"('P3_b_2 ', 'Engenharia de Dados/Data Engineer')",3.b.2_Engenharia de Dados/Data Engineer,3.b.2_Engenharia de Dados/Data Engineer,
cargos_dados_data_analyst,"('P3_b_3 ', 'Analista de Dados/Data Analyst')",3.b.3_Analista de Dados/Data Analyst,3.b.3_Analista de Dados/Data Analyst,
cargos_dados_data_scientist,"('P3_b_4 ', 'Cientista de Dados/Data Scientist')",3.b.4_Cientista de Dados/Data Scientist,3.b.4_Cientista de Dados/Data Scientist,
cargos_dados_dba,"('P3_b_5 ', 'Database Administrator/DBA')",3.b.5_Database Administrator/DBA,3.b.5_Database Administrator/DBA,
cargos_dados_bi_analst,"('P3_b_6 ', 'Analista de Business Intelligence/BI')",3.b.6_Analista de Business Intelligence/BI,3.b.6_Analista de Business Intelligence/BI,
cargos_dados_data_architect,"('P3_b_7 ', 'Arquiteto de Dados/Data Architect')",3.b.7_Arquiteto de Dados/Data Architect,3.b.7_Arquiteto de Dados/Data Architect,
cargos_dados_dpm,"('P3_b_8 ', 'Data Product Manager/DPM')",3.b.8_Data Product Manager/DPM,3.b.8_Data Product Manager/DPM,
cargos_dados_business_analyst,"('P3_b_9 ', 'Business Analyst')",3.b.9_Business Analyst,3.b.9_Business Analyst,
cargos_dados_mlai_engineer,,3.b.10_ML Engineer/AI Engineer,3.b.10_ML Engineer/AI Engineer,
responsabilidades_como_gestor,"('P3_c ', 'Quais dessas responsabilidades fazem parte da sua rotina atual de trabalho como gestor?')",3.c_responsabilidades_como_gestor,3.c_responsabilidades_como_gestor,
responsabilidades_como_gestor_lp_dados,"('P3_c_1 ', 'Pensar na visão de longo prazo de dados da empresa e fortalecimento da cultura analítica da companhia.')",3.c.1_Pensar na visão de longo prazo de dados,3.c.1_Pensar na visão de longo prazo de dados,
responsabilidades_como_gestor_treinamentos,"('P3_c_2 ', 'Organização de treinamentos e iniciativas com o objetivo de aumentar a maturidade analítica das áreas de negócios.')",3.c.2_Organização de treinamentos e iniciativas,3.c.2_Organização de treinamentos e iniciativas,
responsabilidades_como_gestor_selecao,"('P3_c_3 ', 'Atração, seleção e contratação de talentos para o time de dados.')","3.c.3_Atração, seleção e contratação","3.c.3_Atração, seleção e contratação",
responsabilidades_como_gestor_ferramentas,"('P3_c_4 ', 'Decisão sobre contratação de ferramentas e tecnologias relacionadas a dados.')",3.c.4_Decisão sobre contratação de ferramentas,3.c.4_Decisão sobre contratação de ferramentas,
responsabilidades_como_gestor_equipe_engenharia,"('P3_c_5 ', 'Sou gestor da equipe responsável pela engenharia de dados e por manter o Data Lake da empresa como fonte única dos dados, garantindo a qualidade e confiabilidade da informação.')",3.c.5_gestor da equipe de engenharia de dados,3.c.5_gestor da equipe de engenharia de dados,
responsabilidades_como_gestor_equipe_estudos,"('P3_c_6 ', 'Sou gestor da equipe responsável pela entrega de dados, estudos, relatórios e dashboards para as áreas de negócio da empresa.')","3.c.6_gestor da equipe de estudos, relatórios","3.c.6_gestor da equipe de estudos, relatórios",
